ID	SEVERITY	TITLE	ROOT_CAUSE	EVIDENCE	FIX	REGRESSION_TEST	STATUS
F4-001	informational	the temporary start of noesar-debuglab modified its own container writable layer	the analysis container writes python bytecode caches, semgrep settings and a detect-secrets temp file into its ephemeral upper layer whenever it runs; the phase-3 claim "no modification produced by its temporary start" was true of host data but over-broad at container-layer level	25 files under the overlay2 upperdir carry mtimes inside the phase-3 window (06:27-07:29 UTC); its only writable bind mount, /mnt/cachec/NOESAR/debuglab/reports, has two files both dated 2026-07-09 and byte-identical before and after this phase	no code change: the deviation is inherent to running a scanner. The wording is corrected instead, here and in the phase-4 report	re-hash of the writable bind mount before and after the phase-4 scan; 77 -> 77 files in the upper layer	CLOSED - recorded, wording corrected
F4-002	high	a TOTP code could be replayed within the acceptance window	verifyTotp() checked only whether a code was arithmetically valid for the current +/-1 step; nothing recorded that a code had been spent, so a code observed once stayed usable for up to 90 seconds on a second, independent login. RFC 6238 section 5.2 forbids this	AUTH-19 reproduced it live before the fix: the same code that had just completed a login authenticated a second, separate session with HTTP 200	verifyTotpStep() reports the matching step; consumeTotp() refuses any step at or below the highest already accepted, persisted per user; applied to setup confirmation, login MFA and step-up reauthentication, each audited distinctly	services/reference-control-plane/test/totp-replay.test.mjs, 8 tests including persistence across a restart and a check that a newer code is still accepted	CLOSED - fixed, tested, AUTH-19 now PASS
F4-003	withdrawn	SSE stream aborted with no terminating error frame	initial misdiagnosis: the abort was observed, but its cause was F4-004 killing the process, not a missing frame	the orchestrator unit test written to prove the defect passed immediately against unmodified code: an error inside the streaming try block does emit event: error and closes cleanly	none required	stream-failure-containment.test.mjs test 2 keeps the property under guard	WITHDRAWN - not a defect; recorded because it was reported before being verified
F4-004	high	one malformed chat request terminated the whole service	POST /api/v1/chat/stream was invoked as `return orchestrator.streamToResponse(...)` without await, so a rejection escaped the handler try/catch and became an unhandled rejection, which Node turns into process exit. The orchestrator also wrote the SSE headers before validating the request, so the error could no longer be answered with a status. No process-level guard existed	three harness servers died with the identical stack (context-graph.mjs requiredText -> chat-orchestrator.mjs:60 -> server.mjs:592) on a request whose only fault was a missing `content` field; any session with provider.use could repeat it	await the call; move message validation and context building ahead of writeHead; make json() a no-op when headers are already sent; add process-level unhandledRejection (log and continue) and uncaughtException (log and exit for the supervisor) handlers	stream-failure-containment.test.mjs (4) and stream-crash-survival.test.mjs (1), the latter driving a real child-process server and asserting it is still answering afterwards; verified to fail against the pre-fix files	CLOSED - fixed, tested
F4-005	medium	a reachable provider reported its health check as 500	ProviderGateway.probe() built its success value from `providerId`, an identifier never declared in that scope (the parameter is profileId). In an ES module that is a ReferenceError, so only the failure path had ever worked	WORK-28 observed GET /api/v1/providers/{id}/health -> 500 with "providerId is not defined" in the log, while an unreachable provider returned a well-formed 502	providerId:profileId	provider-health-probe.test.mjs, 3 tests covering healthy, upstream-error and disabled; verified to fail against the pre-fix file	CLOSED - fixed, tested
F4-006	high	streaming chat never worked at all	streamWithFallback() used the same undeclared `providerId` in `yield {providerId, delta}` and in its failure list, so a ReferenceError was thrown on the first delta of every stream and again when reporting why	every stream returned exactly two SSE frames, run then error, carrying "providerId is not defined"; after the fix the same request returns nine frames with real deltas	providerId:profileId in both places	provider-gateway-success-paths.test.mjs, 9 tests driving every public gateway method to completion including fallback across a dead provider - the class existed because only failure paths had been executed	CLOSED - fixed, tested
F4-007	low	a provider transport failure was reported as the single word "fetch failed"	fetch() puts the real reason in error.cause; the gateway propagated only error.message, so a provider outage was undiagnosable from the audit trail	the SEC suite failures were opaque until cause reporting was added, at which point they read "UND_ERR_SOCKET other side closed" and became F4-009	describeFetchFailure() appends cause.code and cause.message	covered indirectly by provider-gateway-success-paths.test.mjs; the stale-connection test asserts on behaviour rather than on the message	CLOSED - fixed
F4-008	medium	two security-matrix rows described behaviour the code does not have	row 12 cited tests/http-security.test.mjs as evidence for "CORS IMPLEMENTED", and that file contains no CORS test; row 33 claimed "user / project isolation IMPLEMENTED" while the reference-json data plane stores no per-user ownership on projects, conversations, memories, artifacts or sources	grep of http-security.test.mjs shows two tests, neither about CORS; grep of context-graph.mjs shows no ownerId/actorId/userId field anywhere; no route creates a second user, and the auth.manage permission is granted but wired to nothing	both rows rewritten to describe the real mechanism: CORS is enforced by the absence of any Access-Control-Allow-Origin grant plus SameSite=Strict cookies and a required CSRF header; isolation is per project, single-actor, with RLS existing only in the uninstalled Postgres schema	SEC-04 asserts no CORS grant is ever emitted; WORK-13 and WORK-17 assert per-project isolation including vector search	CLOSED - documentation corrected, tests added
F4-009	medium	the first request after an idle pause could fail with an unexplained transport error	undici reuses a pooled keep-alive socket that the upstream may already have closed, and does not retry a POST. Every provider closes idle connections, so a user-visible stream error could arise from a request that never reached the server	SEC-27 and SEC-30 failed reproducibly on "UND_ERR_SOCKET other side closed" while the same fixtures passed in isolation; an 8-second-idle probe did not reproduce it, which refuted the first hypothesis and led to the real one	fetchOnceRetryingStaleSocket() retries exactly once, only for stale-socket error codes, only when the request produced no bytes and the caller has not aborted	provider-gateway-success-paths.test.mjs, "a connection the upstream has already closed is retried once", against a server with keepAliveTimeout=1ms	CLOSED - fixed, tested, SEC-27 and SEC-30 now PASS
F4-010	low	provider and tool URL validation checks the hostname string, not the address reached	validateBaseUrl() and endpoint() reject metadata literals and RFC1918 literals, but a hostname that resolves to an internal address passes; there is no resolve-then-check at connect time	SEC-15: registering https://internal.example.test/v1 as an external tool succeeds. Already disclosed in security matrix row 16 as a residual risk	NOT FIXED. A correct fix resolves the name and validates every returned address at connect time, which changes the transport layer and needs its own design; guessing at it inside an acceptance phase is how a partial mitigation becomes a false sense of safety	SEC-15 records the limitation as PARTIAL rather than asserting a pass	OPEN - accepted risk, recorded; exploitation requires provider.manage or agent.manage, i.e. owner or admin
F4-011	low	extraction is routed by filename extension and declared MIME type, with no content sniffing	FileExtractor.extract() dispatches on the extension and the client-declared mimeType; magic bytes are never read	SEC-24: PDF bytes declared text/plain are stored as text; text declared application/pdf reaches pdftotext and fails extraction	NOT FIXED. This is a correctness limitation, not an execution risk: extractors run with shell:false on a temp path, output is capped, and nothing is ever executed. Adding sniffing changes ingestion behaviour for existing stored sources and belongs with the phase-5 documentation of supported formats	SEC-24 records it as PARTIAL with the reasoning	OPEN - accepted, recorded
F4-012	informational	the declared 48 MiB ingestion limit cannot be reached through the JSON API	uploads are base64-encoded in a JSON body, and 48 MiB inflates to exactly the 64 MiB request-body cap, so body() rejects first - and it rejects mid-upload, so the client sees a connection reset rather than a 413	SEC-19: a 46 MiB upload is accepted and capped at extraction; a 49 MiB upload resets the connection	none. Both limits are enforced; only the order and the surfaced error differ	SEC-19 documents the interaction	OPEN - recorded, no action
F4-013	informational	a full workspace backup is not encrypted and contains the auth master key	the product exports user data without credentials (verified) but has no encrypted whole-workspace backup feature; a filesystem-level backup is an operator responsibility	the backup/restore evidence: 25/25 files restore byte-identical, credential files keep mode 0600 and hold binary key material, and conversation content is present in the clear in state/ai-workspace.json	none in this phase. Recorded so the phase-5 documentation states the operator duty explicitly rather than implying the product encrypts backups	backup/restore verification records exactly what the archive contains	OPEN - recorded for phase 5 documentation
